289,Fundamental Algorithms,BHATT PCP,Narosa Publishing House,75.00
2224,Theory and Problems of Essential Computer Mathematics,"LIBSCHUTZ, SEYMOUR",McGraw Hill Book Co.,161.00
2521,MicroComputers Systems,"LIU, YU-CHENG & GIBSON, GLENN A",PHI,69.00
2768,Graph Theory,"DEO,NARSINGH",PHI Ltd,55.00
2923,Artificial Intelligence,"RICH,ELAINE",McGraw-Hill Book Co,95.20
3124,Relational Data Bases,"YANG,CHAO-CHIH","PHI,Englewood Cliffs",678.15
3294,Microprocessors with Applications in Process Control,AHSON SI,Tata McGraw-Hill Pub.Co,42.00
3312,Inside the IBM PC AT,BYERS TJ,McGraw Hill,85.08
3724,C Programming Tutor,MORTMAN LEON A,PHI,59.00
4004,Data structures and Algorithms,"AHO, ALFRED V & OTHERS",Addison-Wesley Publishing,0.00
4162,C and Unix Dictionary,"CHRISTIAN, KAARE",John Wiley & Sons,296.50
4763,Design of the Unix Operating System,"BACH, MAURICE J",PHI,79.00
4792,Introduction to Programming in Prolog,"CROOKES, DANNY",PHI,444.40
5384,Discrete Mathematics with Algorithms,"ALBERTSON, MICHAEL O & HUTCHINSON, JOHN P",John Wiley & Sons,121.65
5563,Easy AutoCAD,"HOOD, JOHN D",McGraw Hill Book Co.,94.60
5967,Introduction to Operating Systems,"DEITEL, HARVEY M",Addison-Wesley Pub. Co.,205.00
8101,Peter Norton's Assembly Language Book for the IBM PC,"NORTON, PETER",PHI,59.00
8676,Inside AutoCAD,RAKER D & RICE H,New Riders Publishing,240.00
8677,Hard Disk Instant Reference,"ROBBINS, JUDD",BPB Publications,42.00
8892,Algorithms and Data Structures,WIRTH NIKLAUS,PHI,237.00
8905,Introduction to Data Structures with Applications,"TREMBLAY, JEAN-PAUL & SORENSON PAUL G",McGraw Hill,163.80
9403,Programmer's Reference Manual for IBM Personal Computers,"ARMBRUST, STEVEN & OTHERS",Galgotia,175.00
9452,Power User's Guide to Hard Disk Management,"KAMIN, JONATHAN",Tech Publications,90.00
